TokenID,Universe Name,Planet Name
1,Muneniara Fold,Nireaor Crest
2,Corve,Barkoor
3,Novaruus Domain,Tevaiund Hollow
4,Volnia Reach,Xalean
5,Ossaoiune,Kesha
6,Thalaune Realm,Wrenai
7,Myraa,Dhariund
8,Aveoiyn Sphere,Barkoeu
9,Kaeliaom,Teveaar
10,Novare Fold,Keshoeu Basin
11,Ossaeoen,Goliux Major
12,Anthaeune,Corinios Hollow
13,Ekaroy,Nirain Minor
14,Orvith,Nirouux
15,Novaree Domain,Quenou
16,Ossaael,Vesso Crest
17,Elyeora,Dessaouund
18,Cindreus,Wreneaar Spire
19,Beloruayn Sphere,Corinoe
20,Antheo Expanse,Soviar
21,Kaele Realm,Niri
22,Cindreu,Luna Reef
23,Praxath,Yethu Hollow
24,Nexuat,Keshaiesh Crest
25,Loravot Fold,Tevoeesh
26,Veyua Domain,Corinaeth
27,Volni,Fyreu
28,Novariaax Sphere,Niruor
29,Kaelua Prime,Rhalaian Crest
30,Faveneune,Zolaa Hollow
31,Beloroiis,Corinaak Hollow
32,Orvo Reach,Wrenoe Reef
33,Faveniaa,Fyreaor
34,Muneniaax Expanse,Vessi Minor
35,Juneluaav,Xaleaos Hollow
36,Aveiais,Taruiesh Crest
37,Grostuayr,Joraiol
38,Zerura,Ferrooea Major
39,Kestroith,Sovuor
40,Lomiruaor,Ostuu
41,Corvua,Teveaiv
42,Cindri Reach,Corinoei
43,Lomiruis,Soveux Major
44,Aveoi,Breneom
45,Isarae Realm,Barkoeund Basin
46,Sundiu,Wreniak
47,Lomirua Prime,Pavaiesh
48,Kaeloii,Barkuian
49,Volneune Expanse,Ferroaor Minor
50,Nexaeyn,Vessui Spire
51,Novariav,Rhali Vale
52,Draviyn,Rhaloeth
53,Zeriith Prime,Taria
54,Lomirau,Kesheaak
55,Grosteor Expanse,Barkaiak Hollow
56,Corvuav,Fyreaund Basin
57,Halvinu Prime,Hessuys
58,Anthae Sphere,Nirei Reef
59,Isarua Domain,Iveaos
60,Lomiroior,Cosi
61,Juneloe,Ulmo Vale
62,Myreoy,Xalu
63,Grostoiith,Breneaesh
64,Ossaeor,Queni
65,Grosteot,Brenaux Crest
66,Loravoi,Quena Minor
67,Zeriath,Tarouo Reef
68,Halvinae,Niroor
69,Aveaeth Domain,Corino
70,Volnior,Dhariesh Minor
71,Halvinuom,Sova
72,Nexeav,Maelou Crest
73,Munenoiyn,Soveaol
74,Muneniom,Breno Crest
75,Aveia Sphere,Queni Major
76,Zeraee,Fyreool
77,Volnu,Ferroo
78,Aveaet Expanse,Fyreeaos Spire
79,Draviaom Fold,Tara Minor
80,Ekaruaith,Wrenuiak
81,Zeruen Sphere,Ferroaia Vale
82,Thalu,Ivoueth
83,Loraviaav,Lunea
84,Juneleth,Quenei
85,Praxeoa Sphere,Yethuiom
86,Nexoi Expanse,Xalou
87,Kaeluaen,Jorai Basin
88,Loravora,Keshoeak
89,Ekaraeav,Dharaesh
90,Lomiruo,Sovo
91,Lomireoom Domain,Iveaom
92,Nexuao,Queni Crest
93,Faveniaus,Fyreo Major
94,Isarera Sphere,Dharaii Spire
95,Dravaeon,Tevaiin
96,Lomiruyr,Pavuiar
97,Lomiroel,Ferroou Major
98,Orvie,Quenouille Spire
99,Favenuayn,Quenea Reef
100,Dravoyr,Ferrouio
101,Cindreor,Sova Spire
102,Lomiraera Sphere,Goloar
103,Sundaeav Realm,Ivaian
104,Praxoi Realm,Nirea Crest
105,Loravuaune Fold,Maeloeu Hollow
106,Halvine,Zoleaol
107,Kaelius,Ostoiv
108,Halvinois,Dessae Vale
109,Thaleoyr,Wrenoos
110,Elyaeyr Fold,Wrenaiux
111,Corveoa Realm,Hessea
112,Myre,Brenoor Major
113,Lomiroiune,Brene Vale
114,Isaree Sphere,Graelau
115,Thalo Expanse,Maeloeor
116,Lomiroiune Fold,Keshai
117,Kestreo,Nirouesh
118,Kestruael,Cosuiin
119,Elyaeyr,Dessaou Minor
120,Zere,Ferrooar
121,Nexo Sphere,Cosuiund Vale
122,Volnuai,Ivaiol
123,Muneniav,Lunuiar
124,Munenoy,Graeluiund
125,Cindre Reach,Maeleaak Crest
126,Ossaiais,Joruiak
127,Ossauath Expanse,Wrenuior
128,Zerui,Graelaiin
129,Volnae Prime,Rhaluio
130,Nexa Expanse,Brenuiux Reef
131,Praxiayr,Rhaloak
132,Junelia Prime,Cosiol Minor
133,Munene Prime,Zoluiv
134,Cindrua Reach,Barkeaol Reef
135,Veyuaon,Barkouor
136,Sundeoy,Ulmouys
137,Antheoom Reach,Ferrooeo
138,Loraveora Fold,Goloe
139,Grostey,Ivee
140,Zeraeis,Fyreaios
141,Beloreoom,Graelea Reef
142,Favenay Prime,Ostoe
143,Ekare Domain,Goloua
144,Elyuay,Nirouar
145,Ossauav Realm,Ulmai Basin
146,Zeraeus,Xalaiom
147,Sundiav Fold,Tarouund Hollow
148,Munena,Zoleaille
149,Kaeleo Reach,Cosi Basin
150,Sundeom,Xalaian
151,Kestraei,Goloeo Reef
152,Novaruu,Ferrouos
153,Novaroie,Ferroo Spire
154,Volne Sphere,Dhari
155,Zeraeav,Ulmoeiv
156,Halvineoom Reach,Yethuor
157,Anthith Reach,Ivaiux
158,Orvura,Graelo Reef
159,Veyiyn,Pavoe Crest
160,Halvinue,Fyreuie
161,Grostoa,Barkuesh
162,Ekare Span,Breneaund Spire
163,Favenoiyn,Joraian Minor
164,Nexeis,Iveol
165,Beloreoith,Yetha Spire
166,Lomirua,Taruiu
167,Antha Sphere,Joroua
168,Aveae,Gole
169,Draviael Fold,Graelui
170,Orvuon,Xalaol
171,Kaelia Span,Yethiar
172,Isareoe,Ostaiom
173,Ekaroune,Goloe Basin
174,Kestre,Corinu Spire
175,Lomirie,Dessaea
176,Loraviay Expanse,Lunui
177,Antho,Niruiund
178,Grostiae,Coseays Spire
179,Halvinuax,Barkain
180,Beloruor,Pavoeu Minor
181,Ithelou,Ferroeesh Hollow
182,Favenuau Realm,Fyree Crest
183,Cindreo Reach,Ferrou
184,Aveoir,Tarei
185,Ithelua,Pavaian
186,Groste Realm,Jorea Reef
187,Nexiael Expanse,Keshou Spire
188,Sundayn Prime,Zoleaor
189,Munenoune,Pavo Major
190,Volnoiom,Teveau
191,Novaraeth Realm,Barkuor
192,Ossai Reach,Dhareaor
193,Elyua Domain,Luna Crest
194,Lomiraeyn,Xaloeom
195,Thalae Span,Ulmee
196,Kaelaen Reach,Luna Hollow
197,Grosteo Fold,Osteux Vale
198,Antho Fold,Queneay
199,Volno Fold,Tevaiille Crest
200,Novarara,Ferrooeesh
201,Novareora Span,Lunouys
202,Beloriaom Realm,Osteesh
203,Sunduom Expanse,Ferrooui
204,Junelius,Ferrouior
205,Praxeoo,Sovoin Spire
206,Praxiael,Zoluin
207,Cindruaa,Sovaiu
208,Volnayr Sphere,Graeluiak
209,Ithela,Vessa Basin
210,Kestra Prime,Maeluux
211,Ithelaom Domain,Graelouo
212,Zerua,Tarool Basin
213,Orve Domain,Quenoeos
214,Belorua Domain,Queneaar
215,Halvinuaen,Ulmeo
216,Zeri Fold,Pavaux
217,Praxe,Dhari Hollow
218,Volnoor Span,Corinaol Crest
219,Praxu Sphere,Osteol
220,Praxeoav,Rhaloee Basin
221,Kaelaax,Joroe
